UniqueID,Deep-Lying_Forward,Target_Forward,Poacher,Complete_Forward,Advanced_Forward,Pressing_Forward,Trequartista
34353,18.11088194,12.24832738,15.83518646,14.18060245,13.94004991,11.63112764,14.05382423
33868,17.93255977,12.58556398,14.77975181,13.80092498,16.19360534,11.52944891,13.1781452
32930,17.38552113,12.50015659,14.63793179,13.14635207,16.71992127,12.05233596,13.55778118
33406,17.70525029,12.5710915,15.89821989,15.03947015,16.47385509,11.73764872,10.57446436
1889,16.21352747,12.94623462,16.82103428,14.41865914,17.53853877,12.44662688,9.61537885
30787,18.09823434,23.89594368,7.744715926,14.94788061,12.60103445,13.50169762,9.210493377
24307,13.34790194,18.45049569,15.26221969,12.33704753,13.39129477,15.73209761,11.47894277
29691,15.32367769,18.60914986,11.56211029,15.09224423,17.13142037,12.88104665,9.400350904
30407,15.04369801,20.41270705,13.25451463,16.71234927,15.72050189,11.44640574,7.40982341
30089,15.37910884,16.58223803,12.87278513,14.21407987,16.80864144,12.99114126,11.15200543
3120,21.75169649,11.49980097,5.78724954,19.66364777,13.36817875,13.28320648,14.64621999
38823,18.16025441,11.48285068,10.78753379,20.02581326,14.2591047,10.86500536,14.41943781
2695,18.0217817,11.6720958,10.45534287,19.54746907,14.72600489,11.32910575,14.24819992
39321,19.18822598,11.89532399,8.252823743,20.64927059,14.75229014,10.55877214,14.70329341
1070,15.19797196,12.97391246,14.05475399,14.48121385,13.25148296,13.20709574,16.83356903
1486,15.19797196,12.97391246,14.05475399,14.48121385,13.25148296,13.20709574,16.83356903
17084,16.69563466,13.96770574,14.86307661,13.32145326,13.1819765,14.35688279,13.61327043
17465,15.65389256,14.14304413,15.0357414,13.47610411,13.44877031,14.06432104,14.17812644
17922,18.9750052,16.27305141,11.46715794,11.02924251,12.79652639,15.19219085,14.2668257
19348,12.76141497,14.82564209,2.340975619,35.7829765,17.94743162,2.772085482,13.56947373
25624,14.45470917,14.30329452,10.67347148,10.95871355,18.93443558,17.03510412,13.64027158
24941,12.76141497,14.82564209,2.340975619,35.7829765,17.94743162,2.772085482,13.56947373
39346,18.88617008,13.34965723,18.71661647,13.44754236,15.38782504,11.08640692,9.125781897
2723,19.67545862,14.31272445,15.59358709,13.34773565,15.3060752,11.87365519,9.890763792
3144,19.67545862,14.31272445,15.59358709,13.34773565,15.3060752,11.87365519,9.890763792
17944,14.44272231,12.77825084,21.66271426,14.41053944,16.65190938,11.94668989,8.107173867
