UniqueID,Wide_Centre-Back_(LCB),No_Nonsense_Centre_Back,Ball_Playing_Defender,Wide_Centre_Back_(RCB),Libero
33786,19.88621078,22.88251967,13.43035149,22.2646401,21.53627797
4775,18.72021072,25.76160688,13.4346528,24.10732213,17.97620747
34476,21.80107056,23.44365357,13.43469383,22.88370535,18.43687668
2547,19.78149272,21.4490189,13.43867966,23.12101409,22.20979462
34768,20.60081565,26.30181736,13.44197401,18.52402486,21.13136812
34243,16.15759167,28.64160062,13.45950335,17.51569598,24.22560838
34190,19.67221916,23.77826951,13.46252947,22.0192727,21.06770916
7774,18.38667714,25.0066838,13.46472041,20.82700998,22.31490866
22193,21.92306133,21.40813141,13.46554308,22.70957076,20.49369341
34061,19.73512645,23.35173755,13.48425143,21.56067884,21.86820573
25132,19.73118532,22.43382746,13.48904327,22.7755046,21.57043934
5485,23.14093565,25.24593262,13.49444486,22.65744895,15.46123792
24731,19.61528515,22.77001161,13.49536963,20.35403287,23.76530073
25873,18.88869687,24.57952332,13.50045109,21.98265403,21.0486747
9618,22.33735062,22.29022244,13.50169736,23.42485067,18.44587891
25826,20.34393301,24.06872281,13.51480463,17.03202905,25.0405105
33164,19.69300807,21.80326689,13.53897009,22.00627399,22.95848097
3215,21.82865026,19.77933786,13.53998055,22.55511287,22.29691847
9962,20.47758737,25.04599375,13.54040431,24.02592076,16.91009381
7850,21.71478817,21.2609878,13.54958127,22.76039252,20.71425024
18817,17.46201321,24.91290501,13.55263631,20.70906219,23.36338327
703,11.3926664,22.69323445,33.58829844,13.15696099,19.16883972
21145,20.82451778,22.09687678,13.5745342,19.95562739,23.54844385
17081,22.78831808,22.21656729,13.58206773,28.66308582,12.74996108
17460,22.78831808,22.21656729,13.58206773,28.66308582,12.74996108
40046,21.34899518,21.23732322,13.58437133,21.37341301,22.45589725
24865,19.40678581,23.83983814,13.59439046,21.85882052,21.30016508
16860,17.21618251,25.95256127,13.59661467,19.1832173,24.05142425
34666,22.77331449,23.97742212,13.59818884,20.62521172,19.02586283
16793,20.13802875,23.19201772,13.59840245,17.70464448,25.3669066
25027,18.61487837,22.52416807,13.6024265,20.11508416,25.1434429
25307,18.61487837,22.52416807,13.6024265,20.11508416,25.1434429
24889,22.69965598,22.1582328,13.60369202,21.49034964,20.04806957
6969,18.99262095,22.90272947,13.60747583,20.37987279,24.11730096
33221,21.9815026,22.30264079,13.61811294,20.8234374,21.27430628
33665,21.9815026,22.30264079,13.61811294,20.8234374,21.27430628
2576,18.37073641,25.18747272,13.62511075,19.89993372,22.9167464
32397,20.80615185,26.74975929,13.62541462,27.06521166,11.75346258
32855,20.80615185,26.74975929,13.62541462,27.06521166,11.75346258
35457,12.81082641,19.89252349,33.53909714,16.01592585,17.74162712
33037,24.24271741,24.42727169,13.62943294,23.41846642,14.28211155
39861,22.47285272,23.01955769,13.631036,21.89841073,18.97814287
32037,22.17518802,21.92384426,13.63475243,21.28739223,20.97882306
32516,22.17518802,21.92384426,13.63475243,21.28739223,20.97882306
4997,22.98451585,23.82394655,13.64381516,25.09507929,14.45264315
2465,19.25468384,26.4523049,13.67116262,20.50061577,20.12123288
9115,20.27148809,23.42257364,13.6756554,22.65185953,19.97842333
8914,18.52469141,22.68187676,13.6768129,20.41797387,24.69864506
695,15.11141942,15.06055343,33.03364101,14.63376878,22.16061735
16442,20.31404256,23.40818977,13.68007266,18.07057278,24.52712222
10592,23.53964995,23.74821249,13.68240386,20.34442975,18.68530395
13706,22.12968233,22.73544242,13.69569317,18.31566894,23.12351314
39178,20.93064674,22.63486926,13.70070556,23.4491457,19.28463274
41108,22.3424807,27.8669938,13.7064094,22.61423881,13.46987729
34790,17.87153147,22.92539427,13.70757441,19.11658206,26.37891779
2567,19.13928448,24.63200962,13.71275605,22.24291814,20.27303171
9218,21.79760678,22.50264497,13.71387818,22.67745926,19.30841081
25878,20.99664789,21.98490341,13.72336975,22.54663055,20.74844839
24735,21.31829914,22.65891408,13.72350173,22.45978327,19.83950178
25136,21.31829914,22.65891408,13.72350173,22.45978327,19.83950178
9339,18.53913453,22.60689726,13.72396796,20.36783637,24.76216387
19182,17.96642476,25.06573805,13.72977064,20.92146088,22.31660569
25582,18.51977556,26.86390236,13.73434349,20.23739734,20.64458126
25923,17.65411736,25.89777309,13.74281712,18.32086733,24.3844251
9925,22.71107888,22.36507163,13.75328761,20.97764566,20.19291622
1086,23.61304253,24.1625365,13.75403584,23.20945207,15.26093307
2555,21.26606037,24.27010564,13.77016059,19.92430305,20.76937035
29291,19.44764091,23.67280655,13.77045607,24.13097822,18.97811824
31378,20.89344349,25.09654423,13.78582954,25.51158749,14.71259525
31841,20.89344349,25.09654423,13.78582954,25.51158749,14.71259525
25422,22.4232777,23.18193591,13.79112152,18.91574893,21.68791593
25825,16.8253548,31.37910131,13.79161271,20.41001971,17.59391147
17365,17.76253043,24.54375023,13.79608925,19.62259355,24.27503653
4863,22.62228917,23.04443296,13.79682651,21.83467947,18.7017719
