UniqueID,Shadow_Striker,Advanced _Playmaker,Enganche,Trequartista
18365,25.38542277,21.21024278,22.44435248,30.95998196
21925,24.17928099,28.84110149,26.94111697,20.03850055
22955,27.4168311,19.04481942,21.77360801,31.76474147
21791,14.62687089,20.59601516,12.92758755,51.8495264
23872,25.14017355,19.72986453,25.4889032,29.64105871
8556,18.52725925,22.17123037,23.67898855,35.62252184
15274,11.85909659,27.73057032,29.73736951,30.67296358
849,18.65245662,25.81834058,24.98631231,30.54289049
9725,26.26104324,21.03243662,25.02732039,27.67919975
10187,12.68342264,30.01010137,26.03579706,31.27067892
27377,1.457504943,30.41481646,25.72222173,42.40545687
8984,23.88511994,21.59245826,23.83973697,30.68268483
14125,42.71847335,16.15457539,11.95625994,29.17069132
14377,13.51006446,24.54894577,26.04729321,35.89369656
34081,17.24563702,27.02259536,34.80150229,20.93026533
10289,27.54438328,22.11995875,29.40860744,20.92705053
716,22.49829651,23.66700509,33.1962444,20.638454
8190,23.15309438,21.51983341,20.36123851,34.9658337
493,28.75733232,20.85776212,25.82927787,24.5556277
11671,38.61948559,14.95993381,12.87635966,33.54422095
12601,38.61948559,14.95993381,12.87635966,33.54422095
23486,19.64642412,29.12488444,33.66256605,17.56612539
29710,35.67356322,20.44328901,20.09605488,23.78709289
9405,33.66105295,19.59823764,17.57218721,29.1685222
37345,23.7514246,23.38224996,25.29973592,27.56658952
5795,27.91679112,19.61459389,24.99957914,27.46903585
34252,20.98849834,26.47297313,33.14242689,19.39610164
11220,25.87043907,18.68060771,18.8482094,36.60074382
14444,20.62070963,22.48376694,19.86355774,37.0319657
22809,23.73403904,21.20932808,22.47566915,32.58096373
34070,25.57941829,25.21286536,29.24735353,19.96036282
39508,24.40700742,28.70747968,24.16247667,22.72303622
9731,18.86538046,24.35663589,29.81441583,26.96356782
17712,19.50563188,24.15511075,25.72535536,30.61390201
38351,24.80593254,20.53041943,23.66323268,31.00041536
7224,30.87468776,16.76530929,9.306688685,43.05331427
5728,14.63841279,40.21853961,14.33133122,30.81171637
22255,21.13274741,29.23860765,29.49488696,20.13375799
40083,27.61894548,26.29380961,26.1717715,19.91547342
18576,17.38061214,21.21799571,25.40004442,36.00134774
3422,34.90687663,17.89120313,17.02921163,30.17270861
26993,22.13941998,22.75493922,27.73567009,27.36997071
28241,29.38503048,21.85250333,27.19095313,21.57151306
28675,29.38503048,21.85250333,27.19095313,21.57151306
17825,23.03513286,28.40669614,29.67178861,18.88638239
5381,20.5918693,30.65255372,25.25819604,23.49738094
22919,29.20037014,18.47686633,24.54850393,27.77425961
23867,29.20037014,18.47686633,24.54850393,27.77425961
1140,25.81751909,29.70927965,18.13084431,26.34235695
22843,16.90830182,36.95870696,23.96087968,22.17211154
26910,30.77786205,25.40874824,10.59905982,33.21432989
14736,26.88127221,25.1056086,21.50919294,26.50392624
1219,27.9983698,23.18763626,27.4702369,21.34375705
35284,11.91096474,25.66258329,29.58506865,32.84138333
33961,27.83686404,18.61137495,23.144829,30.40693201
1308,22.9243597,22.66549374,32.58776467,21.82238188
33853,16.41134695,20.48674127,28.29377773,34.80813405
810,16.11737642,24.54371619,25.26645339,34.072454
22837,30.60347724,21.07274016,24.37779224,23.94599035
1402,21.65546684,23.06628185,28.51677715,26.76147417
16078,29.92868717,25.37032551,20.11581793,24.58516939
805,12.08033438,25.07754455,29.23109706,33.61102402
18352,21.79460747,30.54451631,29.26277762,18.39809859
37047,25.01714264,21.65868887,24.05896991,29.26519858
31054,27.82505944,20.1287304,24.03619639,28.01001378
31535,27.82505944,20.1287304,24.03619639,28.01001378
18699,26.31439285,23.10448198,28.80723745,21.77388772
23230,28.40228688,19.35082328,19.4635335,32.78335634
38760,9.933903334,30.62302786,34.2181375,25.22493131
2009,25.77635033,28.86554499,18.76789713,26.59020755
2537,17.53596902,19.58789357,21.28847376,41.58766365
36370,24.92408421,20.32560851,17.50129615,37.24901113
1390,21.27981705,24.60993881,33.32106406,20.78918008
10688,10.05764737,30.22382374,30.26469258,29.45383631
14630,13.15730004,28.89997216,24.85891235,33.08381544
36200,36.65388973,14.76650636,6.786913077,41.79269083
39593,30.36492714,18.66440559,20.58060957,30.39005771
1198,18.80280921,24.75587183,23.01674397,33.42457498
32399,19.03609613,29.01054391,30.44482682,21.50853314
32857,19.03609613,29.01054391,30.44482682,21.50853314
7300,13.94386478,30.33123978,24.86440034,30.8604951
40476,14.42277599,31.3285553,35.2003199,19.04834881
36110,37.84109319,16.95120009,10.55589968,34.65180705
13783,29.50906222,18.28222933,22.39500359,29.81370487
24668,21.17214607,32.91589994,28.11035393,17.80160006
6142,22.40327149,18.2047964,17.75031428,41.64161784
11327,33.36433086,18.60271569,23.32620844,24.70674501
26193,20.1495245,19.82283395,22.38318026,37.64446129
26611,20.1495245,19.82283395,22.38318026,37.64446129
3394,28.62780774,18.54010239,18.8864891,33.94560077
316,28.89393194,24.19285302,21.2631073,25.65010774
37945,32.18843776,21.15415652,19.17669433,27.4807114
20471,20.47690176,28.06881139,35.22689156,16.2273953
25683,18.65958385,21.88094291,27.108732,32.35074123
41342,14.28987097,24.85603532,29.31134728,31.54274642
38623,25.35866931,23.78569132,28.71999128,22.1356481
27216,27.31669029,21.8120508,25.41120033,25.46005858
39985,33.86440669,20.85810457,21.45244951,23.82503923
6509,29.50441647,18.71522387,19.01257148,32.76778818
31723,29.91118545,22.50601969,21.92290806,25.65988679
39811,18.85340391,23.27346286,30.46979672,27.40333651
3424,8.482021199,45.18757646,14.88250672,31.44789562
24259,27.7439142,24.78103045,24.12614799,23.34890737
28240,14.94126874,24.69275586,27.90986293,32.45611247
28674,14.94126874,24.69275586,27.90986293,32.45611247
22252,27.16087847,22.63350063,28.61817516,21.58744574
15983,10.9343027,26.92986032,30.11957705,32.01625992
38893,17.15583085,30.85122691,20.55844655,31.43449569
1087,22.69191064,22.22341771,22.24496483,32.83970682
1738,28.9335877,23.91072798,26.42231596,20.73336836
15787,24.99696297,24.29594575,29.391003,21.31608827
