UniqueID,Full_Back,Complete_Wing_Back,Wing_Back,Inverted_Full_Back,Inverted_Wing_Back,No_Nonsense_Full_Back
18263,17.62595091,20.26088677,22.10331532,17.74783341,13.94964251,8.312371082
18871,15.78449735,19.67844943,19.59438682,16.00206017,12.98923803,15.9513682
19214,15.78449735,19.67844943,19.59438682,16.00206017,12.98923803,15.9513682
34219,23.35651564,17.85229502,16.46949918,9.466499373,14.43097423,18.42421654
15348,20.34360198,18.13453029,18.25460756,12.40691451,13.25782536,17.60252029
33798,18.98599642,18.05233207,20.90364878,12.93973977,13.12018628,15.99809668
19787,13.17995745,27.45060809,23.35547839,4.175293471,14.84599106,16.99267154
15815,20.28238729,18.73519418,18.76931046,9.97408086,12.51795532,19.72107189
24677,15.06970606,20.84606881,18.5806033,14.52504461,13.73903529,17.23954193
129,18.56410353,9.104165341,14.03760761,26.44119826,13.84642862,18.00649664
9902,9.521607327,26.14997562,20.45707513,11.15389035,15.15953506,17.55791651
32195,12.62354785,26.82348384,23.32766304,12.28486883,14.29423611,10.64620033
32670,12.62354785,26.82348384,23.32766304,12.28486883,14.29423611,10.64620033
37799,18.70343039,21.970474,20.81215015,17.18568938,11.87252795,9.455728131
15759,16.4340635,20.86325336,20.96636851,14.87177674,12.63053993,14.23399796
15995,15.17389537,20.59303517,21.35130984,14.49245967,15.38438219,13.00491776
9882,13.61056419,28.80592759,25.73499292,12.07281633,14.18939297,5.586306009
39681,15.26106185,20.4067699,16.69681186,19.56420273,15.14485463,12.92629903
36677,11.08971143,27.29277255,21.71974496,16.78607077,12.48161964,10.63008065
5772,14.69807965,32.34950862,23.54626474,10.99073785,11.20478816,7.210620978
2294,18.25567473,23.31703243,20.00815128,13.01002461,15.81863352,9.590483425
17174,19.75339798,18.32675115,19.32415615,19.21756913,10.86485453,12.51327106
10892,17.00199981,21.41761673,20.70628546,12.89651631,12.60461633,15.37296535
36059,17.00199981,21.41761673,20.70628546,12.89651631,12.60461633,15.37296535
544,18.56410353,9.104165341,14.03760761,26.44119826,13.84642862,18.00649664
15793,13.10334864,29.05950216,23.50085288,11.91994079,15.2788426,7.137512926
5589,14.3768219,18.36626303,21.74328038,19.77946662,16.06463056,9.669537499
